cohort,organisation,organisation_name,article-4-direction,article-4-direction-area,conservation-area,conservation-area-document,listed-building-outline,tree,tree-preservation-order,tree-preservation-zone,ready_for_ODP_adoption
ODP-Track4,local-authority:ROH,Rother District Council,0. no data,0. no data,4. data that is trustworthy,4. data that is trustworthy,0. no data,0. no data,0. no data,0. no data,no
ODP-Track4,local-authority:KEC,Royal Borough of Kensington and Chelsea,4. data that is trustworthy,4. data that is trustworthy,4. data that is trustworthy,0. no data,3. data that is good for ODP,2. authoritative data from the LPA,3. data that is good for ODP,4. data that is trustworthy,yes
ODP-Track4,local-authority:SAW,Sandwell Metropolitan Borough Council,4. data that is trustworthy,4. data that is trustworthy,4. data that is trustworthy,0. no data,4. data that is trustworthy,3. data that is good for ODP,0. no data,4. data that is trustworthy,yes
ODP-Track4,local-authority:SCA,South Cambridgeshire District Council,0. no data,0. no data,4. data that is trustworthy,0. no data,0. no data,0. no data,0. no data,0. no data,no
ODP-Track4,local-authority:SNO,South Norfolk District Council,0. no data,3. data that is good for ODP,1. some data,0. no data,0. no data,0. no data,0. no data,0. no data,no
ODP-Track4,local-authority:SST,South Staffordshire Council,4. data that is trustworthy,4. data that is trustworthy,4. data that is trustworthy,4. data that is trustworthy,0. no data,0. no data,0. no data,3. data that is good for ODP,no
ODP-Track4,local-authority:SPE,Spelthorne Borough Council,0. no data,0. no data,1. some data,0. no data,0. no data,0. no data,0. no data,0. no data,no
ODP-Track4,local-authority:SUR,Surrey Heath Borough Council,0. no data,0. no data,1. some data,0. no data,0. no data,0. no data,0. no data,0. no data,no
ODP-Track4,local-authority:TAN,Tandridge District Council,0. no data,0. no data,1. some data,0. no data,0. no data,0. no data,0. no data,0. no data,no
ODP-Track4,local-authority:TEN,Tendring District Council,0. no data,0. no data,1. some data,0. no data,0. no data,0. no data,0. no data,0. no data,no
ODP-Track4,local-authority:TOB,Torbay Council,4. data that is trustworthy,4. data that is trustworthy,4. data that is trustworthy,4. data that is trustworthy,4. data that is trustworthy,4. data that is trustworthy,4. data that is trustworthy,4. data that is trustworthy,yes
ODP-Track4,local-authority:TRF,Trafford Metropolitan Borough Council,0. no data,0. no data,4. data that is trustworthy,0. no data,0. no data,0. no data,0. no data,0. no data,no
RIPA-BOPS,local-authority:DNC,Doncaster Metropolitan Borough Council,0. no data,4. data that is trustworthy,4. data that is trustworthy,0. no data,4. data that is trustworthy,4. data that is trustworthy,0. no data,3. data that is good for ODP,yes
RIPA-BOPS,local-authority:GLO,Gloucester City Council,0. no data,4. data that is trustworthy,4. data that is trustworthy,0. no data,4. data that is trustworthy,3. data that is good for ODP,0. no data,4. data that is trustworthy,yes
RIPA-BOPS,local-authority:CMD,London Borough of Camden,4. data that is trustworthy,4. data that is trustworthy,4. data that is trustworthy,4. data that is trustworthy,3. data that is good for ODP,0. no data,0. no data,0. no data,no
RIPA-BOPS,local-authority:MDW,Medway Council,0. no data,4. data that is trustworthy,4. data that is trustworthy,0. no data,2. authoritative data from the LPA,0. no data,2. authoritative data from the LPA,2. authoritative data from the LPA,no
RIPA-BOPS,local-authority:NET,Newcastle City Council,2. authoritative data from the LPA,2. authoritative data from the LPA,4. data that is trustworthy,0. no data,2. authoritative data from the LPA,0. no data,0. no data,0. no data,no
RIPA-Beta,local-authority:BUC,Buckinghamshire Council,0. no data,2. authoritative data from the LPA,4. data that is trustworthy,0. no data,4. data that is trustworthy,2. authoritative data from the LPA,0. no data,2. authoritative data from the LPA,yes
RIPA-Beta,local-authority:LBH,London Borough of Lambeth,3. data that is good for ODP,3. data that is good for ODP,4. data that is trustworthy,0. no data,2. authoritative data from the LPA,2. authoritative data from the LPA,2. authoritative data from the LPA,0. no data,no
RIPA-Beta,local-authority:SWK,London Borough of Southwark,0. no data,4. data that is trustworthy,4. data that is trustworthy,0. no data,3. data that is good for ODP,2. authoritative data from the LPA,0. no data,2. authoritative data from the LPA,yes
